Job Name,Company Name,Tag,Level,Location
Business Analyst BA,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,IT - Phần mềm,Trưởng nhóm,"- Hà Nội: Tầng 3, Tòa Tháp Đông, Chung cư Học viện Quốc Phòng, Xuân La, Tây Hồ"
Mobile Developer Flutter Hà Nội,CÔNG TY TNHH 10KN,Chuyên môn Mobile Developer,Nhân viên,"- Hà Nội: Sacombank Lê Đức Thọ, Mỹ Đình, Nam Từ Liêm"
Mobile Developer Flutter Hà Nội,CÔNG TY TNHH 10KN,IT - Phần mềm,Nhân viên,"- Hà Nội: Sacombank Lê Đức Thọ, Mỹ Đình, Nam Từ Liêm"
Khoa Học Dữ Liệu Data Scientist,Khối Công nghệ thông tin - Viettel Telecom,Chuyên môn Data Scientist,Nhân viên,"- Hà Nội: Tầng 42 + 43, tòa nhà Keangnam Landmark 72 Phạm Hùng, Nam Từ Liêm"
Giám Đốc Vận Hành COO,Công ty cổ phần TechLead,Chuyên môn Software Architect,Giám đốc,"- Hà Nội: Tầng 4- Số 11 Nguyễn Xiển - Thanh Xuân, Thanh Xuân"
Giám Đốc Vận Hành COO,Công ty cổ phần TechLead,IT - Phần mềm,Giám đốc,"- Hà Nội: Tầng 4- Số 11 Nguyễn Xiển - Thanh Xuân, Thanh Xuân"
Frontend Developer ReactJS Dự Án Giáo Dục,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ BẦU TRỜI XANH,Chuyên môn Frontend Developer,Nhân viên,"- Hà Nội: BT16B6-32, Làng Việt Kiều Châu Âu, P. Mộ Lao, Hà Đông"
Frontend Developer ReactJS Dự Án Giáo Dục,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ BẦU TRỜI XANH,IT - Phần mềm,Nhân viên,"- Hà Nội: BT16B6-32, Làng Việt Kiều Châu Âu, P. Mộ Lao, Hà Đông"
Frontend Developer ReactJS Dự Án Giáo Dục,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ BẦU TRỜI XANH,Giáo dục / Đào tạo,Nhân viên,"- Hà Nội: BT16B6-32, Làng Việt Kiều Châu Âu, P. Mộ Lao, Hà Đông"
Java Developer,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ SOLID,Chuyên môn Software Engineer,Nhân viên,"- Hà Nội: Duy Tân, Cầu Giấy"
Java Developer,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ SOLID,IT - Phần mềm,Nhân viên,"- Hà Nội: Duy Tân, Cầu Giấy"
Java Developer,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ SOLID,Nghỉ thứ 7,Nhân viên,"- Hà Nội: Duy Tân, Cầu Giấy"
Java Backend Hà Nội,Công ty cổ phần XNK Đầu tư và Công nghệ HD Việt Nam,Chuyên môn Backend Developer,Nhân viên,"- Hà Nội: Hoàng Cầu, Đống Đa"
Java Backend Hà Nội,Công ty cổ phần XNK Đầu tư và Công nghệ HD Việt Nam,IT - Phần cứng và máy tính,Nhân viên,"- Hà Nội: Hoàng Cầu, Đống Đa"
Java Backend Hà Nội,Công ty cổ phần XNK Đầu tư và Công nghệ HD Việt Nam,IT - Phần mềm,Nhân viên,"- Hà Nội: Hoàng Cầu, Đống Đa"
